

Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
09/17/2026,YOU SOLD SNOWFLAKE INC. COMMON STOCK (SNOW) (Cash),SNOW,SNOWFLAKE INC. COMMON STOCK,Cash,343,"-1","","","",343,4461.31,09/18/2026
09/17/2026,YOU BOUGHT PALO ALTO NETWORKS INC COM USD0.0001 (PANW) (Cash),PANW,PALO ALTO NETWORKS INC COM USD0.0001,Cash,365.13,1,"","","","-365.13",4118.31,09/18/2026
09/17/2026,YOU BOUGHT PBF ENERGY INC COM USD0.001 (PBF) (Cash),PBF,PBF ENERGY INC COM USD0.001,Cash,74.28,2,"","","","-148.56",4483.44,09/18/2026
09/17/2026,YOU SOLD OSCAR HEALTH INC CL A (OSCR) (Cash),OSCR,OSCAR HEALTH INC CL A,Cash,33.53,"-3","","","",100.59,4632,09/18/2026
09/17/2026,YOU BOUGHT OKTA INC CL A (OKTA) (Cash),OKTA,OKTA INC CL A,Cash,183,0.716,"","","","-131.03",4531.41,09/18/2026
09/17/2026,YOU SOLD HEWLETT PACKARD ENTERPRISE CO COM (HPE) (Cash),HPE,HEWLETT PACKARD ENTERPRISE CO COM,Cash,58.23,"-1","","","",58.23,4662.44,09/18/2026
09/17/2026,YOU SOLD GITLAB INC CLASS A COM (GTLB) (Cash),GTLB,GITLAB INC CLASS A COM,Cash,50.42,"-1","","","",50.42,4604.21,09/18/2026
09/17/2026,YOU BOUGHT FORTINET INC COM USD0.001 (FTNT) (Cash),FTNT,FORTINET INC COM USD0.001,Cash,168.42,1,"","","","-168.42",4553.79,09/18/2026
09/17/2026,YOU SOLD FORTINET INC COM USD0.001 (FTNT) (Cash),FTNT,FORTINET INC COM USD0.001,Cash,176,"-1","","","",176,4722.21,09/18/2026
09/17/2026,YOU SOLD FIVE9 INC COM USD0.001 (FIVN) (Cash),FIVN,FIVE9 INC COM USD0.001,Cash,35.19,"-0.049","","","",1.72,4546.21,09/18/2026
09/17/2026,YOU BOUGHT DOCUSIGN INC COM (DOCU) (Cash),DOCU,DOCUSIGN INC COM,Cash,68.53,2,"","","","-137.06",4544.49,09/18/2026
09/17/2026,YOU BOUGHT CROWDSTRIKE HLDGS INC CL A (CRWD) (Cash),CRWD,CROWDSTRIKE HLDGS INC CL A,Cash,234.84,0.7,"","","","-164.39",4681.55,09/18/2026
09/17/2026,YOU SOLD CROWDSTRIKE HLDGS INC CL A (CRWD) (Cash),CRWD,CROWDSTRIKE HLDGS INC CL A,Cash,249,"-1","","","",249,4845.94,09/18/2026
09/17/2026,YOU SOLD CLOUDFLARE INC CL A COM (NET) (Cash),NET,CLOUDFLARE INC CL A COM,Cash,334.39,"-1","","","",334.39,4596.94,09/18/2026
